16 окт. 2025 11:29:03,308  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,2), value : Ком
16 окт. 2025 11:29:03,308  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,2)
16 окт. 2025 11:29:03,333  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,3), value : Кома
16 окт. 2025 11:29:03,333  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,3)
16 окт. 2025 11:29:03,508  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,4), value : Коман
16 окт. 2025 11:29:03,508  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,4)
16 окт. 2025 11:29:04,227  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,5), value : Команд
16 окт. 2025 11:29:04,227  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,5)
16 окт. 2025 11:29:04,321  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,6), value : Команда
16 окт. 2025 11:29:04,321  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,6)
16 окт. 2025 11:29:04,541  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,7), value : Команда 
16 окт. 2025 11:29:04,541  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,7)
16 окт. 2025 11:29:04,715  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,8), value : Команда 2
16 окт. 2025 11:29:04,722  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#117,RMI:HockeyStats.team, TID - (117),5,RMI Runtime], indices : (-1,0,8)
16 окт. 2025 11:29:06,351  -  -   INFO RemoteLogger - executeEventAction started: [ID: 829, SID: name(t)]
16 окт. 2025 11:29:06,353  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 829, SID: name(t)]
16 окт. 2025 11:29:06,354  -  -   INFO RemoteLogger - executeEventAction started: [ID: 775, SID: formOk()]
16 окт. 2025 11:29:06,354  -  -   INFO RemoteLogger - FORM HIDE : FORM[1016201742 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:29:06,354  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 775, SID: formOk()]
16 окт. 2025 11:29:06,354  -  -   INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1016201742 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
