16 окт. 2025 11:25:10,021  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,032  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,034  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,082  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,084  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,116  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,118  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,162  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,163  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,175  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,177  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,179  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,180  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,181  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,182  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,239  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,244  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,249  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,250  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,252  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,254  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,257  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,258  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,259  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,261  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,266  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,267  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,269  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,270  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,270  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,271  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,289  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,289  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,290  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,291  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
