16 окт. 2025 12:14:52,497  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@127823106
16 окт. 2025 12:14:52,501  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@198206035
16 окт. 2025 12:14:54,676  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1955266382
16 окт. 2025 12:14:54,689  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@127823106
16 окт. 2025 12:14:54,689  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1955266382
16 окт. 2025 12:14:54,689  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@198206035
16 окт. 2025 12:14:54,709  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2134157671
16 окт. 2025 12:15:02,952  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@456879910
16 окт. 2025 12:15:03,049  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@506335471
16 окт. 2025 12:15:03,106  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@506335471
16 окт. 2025 12:15:03,113  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1448296048
16 окт. 2025 12:15:03,113  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1441315155
16 окт. 2025 12:15:03,331  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1441315155
16 окт. 2025 12:15:05,828  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@613673341
16 окт. 2025 12:15:05,914  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@613673341
16 окт. 2025 12:15:10,750  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1384516969
16 окт. 2025 12:15:10,789  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1384516969
16 окт. 2025 12:15:10,842  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1457184768
16 окт. 2025 12:15:10,875  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1950390890
16 окт. 2025 12:15:10,902  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1950390890
16 окт. 2025 12:15:11,809  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1640074149
16 окт. 2025 12:15:11,836  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1640074149
16 окт. 2025 12:15:13,294  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1720770143
16 окт. 2025 12:15:29,610  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@345534774
16 окт. 2025 12:15:29,618  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@345534774
16 окт. 2025 12:15:31,537  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1638024260
16 окт. 2025 12:15:31,541  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1638024260
16 окт. 2025 12:15:31,845  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@815078572
16 окт. 2025 12:15:31,848  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@815078572
16 окт. 2025 12:15:32,059  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@393316365
16 окт. 2025 12:15:32,064  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@393316365
16 окт. 2025 12:15:32,244  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1945976853
16 окт. 2025 12:15:32,247  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1945976853
16 окт. 2025 12:15:32,454  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1759099681
16 окт. 2025 12:15:32,458  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1759099681
16 окт. 2025 12:15:33,247  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1686468720
16 окт. 2025 12:15:33,251  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1686468720
16 окт. 2025 12:15:52,307  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@661070545
16 окт. 2025 12:16:00,997  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1512564806
16 окт. 2025 12:16:01,665  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 12:16:01,666  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1512564806
16 окт. 2025 12:16:02,790  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1879202713
16 окт. 2025 12:16:03,125  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1271656392
16 окт. 2025 12:16:03,125  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1975609241
16 окт. 2025 12:16:03,476  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1688945072
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1190541831
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1177932897
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@881822051
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1198063498
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2072403335
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@689423118
16 окт. 2025 12:16:03,536  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1958721039
16 окт. 2025 12:16:03,873  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1462231754
16 окт. 2025 12:16:06,166  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1721309618
16 окт. 2025 12:16:06,168  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@84476252
16 окт. 2025 12:16:06,657  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@84476252
16 окт. 2025 12:16:06,745  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@284233069
16 окт. 2025 12:16:06,840  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1967267202
16 окт. 2025 12:16:06,920  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1967267202
16 окт. 2025 12:16:07,918  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@216852580
16 окт. 2025 12:16:07,918  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1133697191
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1462231754
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1190541831
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2072403335
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1271656392
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1198063498
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1975609241
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1958721039
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1688945072
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@689423118
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1177932897
16 окт. 2025 12:16:08,095  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@881822051
16 окт. 2025 12:16:08,143  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1776568275
16 окт. 2025 12:16:08,148  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1031341273
16 окт. 2025 12:16:08,961  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1091893043
16 окт. 2025 12:16:09,032  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1091893043
16 окт. 2025 12:16:09,432  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1602285310
16 окт. 2025 12:16:09,529  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1602285310
16 окт. 2025 12:16:10,336  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2123713342
16 окт. 2025 12:16:10,350  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2123713342
16 окт. 2025 12:16:10,350  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1031341273
16 окт. 2025 12:16:10,350  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1776568275
16 окт. 2025 12:16:10,369  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2134157671
16 окт. 2025 12:16:13,380  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1428450677
16 окт. 2025 12:16:37,918  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1712118480
16 окт. 2025 12:17:07,922  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@208747529
16 окт. 2025 12:17:13,444  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1428450677
16 окт. 2025 12:23:49,068  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1745135522
16 окт. 2025 12:23:49,806  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2134157671
16 окт. 2025 12:23:49,807  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1745135522
16 окт. 2025 12:23:51,037  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2038585029
16 окт. 2025 12:23:51,939  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@788115692
16 окт. 2025 12:23:51,939  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2003329090
16 окт. 2025 12:23:52,158  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@658980792
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@841640975
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1034674728
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2136578897
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@206306710
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@959520506
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@934636669
16 окт. 2025 12:23:52,225  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@565482060
16 окт. 2025 12:23:52,584  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@572832877
16 окт. 2025 12:23:54,178  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1980450622
16 окт. 2025 12:23:54,180  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1271545707
16 окт. 2025 12:23:54,669  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@1271545707
16 окт. 2025 12:23:54,753  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@2070072087
16 окт. 2025 12:23:54,863  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@455165268
16 окт. 2025 12:23:54,990  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@455165268
16 окт. 2025 12:23:56,389  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@541696858
16 окт. 2025 12:23:56,389  -  -   INFO ExInfoLogger - SQL SESSION OPEN SQL@1941421346
16 окт. 2025 12:23:56,595  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@2003329090
16 окт. 2025 12:23:56,595  -  -   INFO ExInfoLogger - SQL SESSION CLOSE SQL@658980792
