16 окт. 2025 11:28:59,537  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: run, rq: 10] for request #10
16 окт. 2025 11:28:59,537  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: run, rq: 10] for request #10
16 окт. 2025 11:28:59,546  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: run, rq: 10] for request #10
16 окт. 2025 11:29:01,393  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11] for request #11
16 окт. 2025 11:29:01,393  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11] for request #11
16 окт. 2025 11:29:01,393  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11]
16 окт. 2025 11:29:01,491  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11] called pauseForUserInteraction: [FormClientAction[showFormType: DOCKED_MODAL]]
16 окт. 2025 11:29:01,536  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.team, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:29:01,536  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.team, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:29:01,536  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.team, m: gainedFocus, rq: 0]
16 окт. 2025 11:29:01,537  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.team, m: gainedFocus, rq: 0] finished
16 окт. 2025 11:29:01,537  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.team, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:29:06,350  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.team, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:29:06,351  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.team, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:29:06,351  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.team, m: executeEventAction, rq: 1]
16 окт. 2025 11:29:06,352  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.team, m: executeEventAction, rq: 2] for request #2
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.team, m: executeEventAction, rq: 1] finished
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.team, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.team, m: executeEventAction, rq: 2] for request #2
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.team, m: executeEventAction, rq: 2]
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.team, m: executeEventAction, rq: 2] called delayUserInteraction: lsfusion.interop.action.HideFormClientAction@246e9281
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.team, m: executeEventAction, rq: 2] called delayUserInteraction: lsfusion.interop.action.DestroyFormClientAction@5412f41
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.team, m: executeEventAction, rq: 2] finished
16 окт. 2025 11:29:06,354  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.team, m: executeEventAction, rq: 2] for request #2
16 окт. 2025 11:29:06,369  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 12] for request #12
16 окт. 2025 11:29:06,370  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11] resumed after userInteraction: [null]
16 окт. 2025 11:29:06,378  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11] finished
16 окт. 2025 11:29:06,378  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 11] for request #11
16 окт. 2025 11:29:06,378  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 12] for request #12
16 окт. 2025 11:29:06,378  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: gainedFocus, rq: 12]
16 окт. 2025 11:29:06,535  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: gainedFocus, rq: 12] finished
16 окт. 2025 11:29:06,535  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 12] for request #12
16 окт. 2025 11:29:09,295  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13] for request #13
16 окт. 2025 11:29:09,295  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13] for request #13
16 окт. 2025 11:29:09,295  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13]
16 окт. 2025 11:29:09,297  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13] called pauseForUserInteraction: [lsfusion.interop.action.RequestUserInputClientAction@544e5a40]
